iso,countryname,continent,population(mil),gdp
ago,Angola,Africa,23.369131088256836,5988.534997149481
bdi,Burundi,Africa,8.766929626464844,731.4232803265862
ben,Benin,Africa,9.199258804321289,1919.9969479963038
bfa,Burkina Faso,Africa,15.605216979980469,1327.2165314775982
bwa,Botswana,Africa,2.0148661136627197,12256.14159052444
caf,Central African Republic,Africa,4.4485249519348145,865.4421867263901
cmr,Cameroon,Africa,19.970495223999023,2684.972890247272
cod,Democratic Republic of the Congo,Africa,64.52326202392578,634.9713963013496
cog,Republic of the Congo,Africa,4.386693000793457,4979.990496069269
com,Comoros,Africa,0.6896920204162598,2292.997969425929
cpv,Cape Verde,Africa,0.5023840069770813,5644.821253339075
dji,Djibouti,Africa,0.8511459827423096,2124.4420625972525
dza,Algeria,Africa,36.117637634277344,12590.224223813591
egy,Egypt,Africa,84.10760498046875,9148.839753298033
eth,Ethiopia,Africa,87.70266723632812,1100.1831875876223
gab,Gabon,Africa,1.6402100324630737,11961.168226448879
gha,Ghana,Africa,24.512104034423828,3931.2918319728856
gin,Guinea,Africa,10.794170379638672,1742.7346742167783
gmb,Gambia,Africa,1.692149043083191,2681.8586168502143
gnb,Guinea-Bissau,Africa,1.5558799505233765,1387.2497310879905
gnq,Equatorial Guinea,Africa,0.9511039853096008,31416.887137501908
ken,Kenya,Africa,41.35015106201172,2484.0349094725366
lbr,Liberia,Africa,3.948124885559082,786.6702306741524
lso,Lesotho,Africa,2.040550947189331,2432.7976546880823
mar,Morocco,Africa,32.409637451171875,6421.937677907418
mdg,Madagascar,Africa,21.151639938354492,1459.9156124535612
mli,Mali,Africa,15.075084686279297,1873.2809618195865
moz,Mozambique,Africa,24.221405029296875,969.2307622526259
mrt,Mauritania,Africa,3.6095430850982666,3082.647028528842
mus,Mauritius,Africa,1.2479549646377563,15178.325920597827
mwi,Malawi,Africa,15.167095184326172,972.0456815116237
nam,Namibia,Africa,2.1731700897216797,7689.171239820006
ner,Niger,Africa,16.42557716369629,845.8693682212395
nga,Nigeria,Africa,158.57826232910156,5186.304307542348
rwa,Rwanda,Africa,10.246842384338379,1379.6993252327009
sdn,Sudan,Africa,34.385963439941406,3608.7856176907358
sen,Senegal,Africa,12.916229248046875,2741.121456198507
sle,Sierra Leone,Africa,6.4587202072143555,1161.8796942144647
swz,Swaziland,Africa,1.2028429508209229,7042.524359035093
syc,Seychelles,Africa,0.0914049968123436,17960.353075613308
tcd,Chad,Africa,11.887202262878418,1880.3748762799714
tgo,Togo,Africa,6.5029520988464355,1222.8150529133295
tun,Tunisia,Africa,10.639930725097656,10647.834980284626
tza,Tanzania,Africa,44.82893753051758,1979.1718644815185
uga,Uganda,Africa,33.91513442993164,1723.5943355766267
zaf,South Africa,Africa,51.58466339111328,11388.640515995063
zmb,Zambia,Africa,13.850032806396484,2870.8872656342314
zwe,Zimbabwe,Africa,14.08631706237793,1479.0305839163732
are,United Arab Emirates,Asia,8.270684242248535,59707.412565389604
arm,Armenia,Asia,2.8773109912872314,8222.945234202914
aze,Azerbaijan,Asia,9.03245735168457,12947.102198682365
bgd,Bangladesh,Asia,152.14910888671875,2411.1020691099325
bhr,Bahrain,Asia,1.2408620119094849,37045.81310919623
brn,Brunei,Asia,0.3886620104312897,67320.89957245934
btn,Bhutan,Asia,0.7276409864425659,7235.18974818538
chn,China,Asia,1359.755126953125,9337.290772677254
cyp,Cyprus,Asia,0.829446017742157,28046.373877741087
geo,Georgia,Asia,4.231660842895508,7966.602756952667
hkg,Hong Kong,Asia,7.02522087097168,41687.946418899235
ind,India,Asia,1230.980712890625,4357.0597360582315
irn,Iran,Asia,74.56751251220703,17328.457882894658
irq,Iraq,Asia,30.7627010345459,9344.543768350652
isr,Israel,Asia,7.42595911026001,28638.9037385305
jor,Jordan,Asia,7.182390213012695,9351.387283068141
jpn,Japan,Asia,128.5518798828125,36595.63364058582
kaz,Kazakhstan,Asia,16.398975372314453,17908.83993251286
kgz,Kyrgyzstan,Asia,5.422337055206299,3382.4639059259293
khm,Cambodia,Asia,14.30873966217041,2330.127207632253
kor,South Korea,Asia,49.5528564453125,31589.705161145695
kwt,Kuwait,Asia,2.9980831146240234,67029.51680017101
lao,Laos,Asia,6.246273994445801,4316.969858587265
lbn,Lebanon,Asia,4.337141036987305,18025.24893894264
lka,Sri Lanka,Asia,20.198352813720703,8390.429701766443
mac,Macau,Asia,0.536969006061554,91982.39517540816
mdv,Maldives,Asia,0.36451101303100586,12140.803390739566
mmr,Burma,Asia,50.1558952331543,3422.241340266976
mng,Mongolia,Asia,2.7126500606536865,7670.714034382584
mys,Malaysia,Asia,28.112289428710938,17913.164410782432
npl,Nepal,Asia,27.023136138916016,1996.1961554516242
omn,Oman,Asia,3.0414600372314453,40472.674942509126
pak,Pakistan,Asia,170.5601806640625,4171.416562353057
phl,Philippines,Asia,93.72662353515625,5391.233965240031
qat,Qatar,Asia,1.7796759605407715,123128.40152283433
sau,Saudi Arabia,Asia,27.425676345825195,42331.65885721999
sgp,Singapore,Asia,5.074252128601074,58618.43503468222
syr,Syria,Asia,21.01883316040039,5700.329438992399
tha,Thailand,Asia,67.20880889892578,12496.244186726299
tjk,Tajikistan,Asia,7.641630172729492,2784.5145587763627
tkm,Turkmenistan,Asia,5.087210178375244,16061.429412691556
tur,Turkey,Asia,72.32691192626953,17930.678781392427
twn,Taiwan,Asia,23.140947341918945,37188.89452901009
uzb,Uzbekistan,Asia,28.606294631958008,6574.51672506692
vnm,Vietnam,Asia,88.4725112915039,4428.42140209062
yem,Yemen,Asia,23.606779098510742,4553.557258443674
alb,Albania,Europe,2.9405250549316406,9544.73991912729
aut,Austria,Europe,8.40994930267334,40489.80635849457
bel,Belgium,Europe,10.938738822937012,38177.94724875522
bgr,Bulgaria,Europe,7.404590129852295,14906.784964031736
bih,Bosnia and Herzegovina,Europe,3.7220840454101562,9049.364732987471
blr,Belarus,Europe,9.473071098327637,16457.02937904922
che,Switzerland,Europe,7.831971168518066,55688.020214268225
cze,Czech Republic,Europe,10.536286354064941,26129.56935189834
deu,Germany,Europe,80.89478302001953,40627.23054942445
dnk,Denmark,Europe,5.554843902587891,43416.22338615916
esp,Spain,Europe,46.788631439208984,31610.980157042286
est,Estonia,Europe,1.3321019411087036,20265.572596704937
fin,Finland,Europe,5.365781784057617,38394.06158150017
fra,France,Europe,65.14578247070312,35786.16161450548
gbr,United Kingdom,Europe,63.30684280395508,34810.28120173958
grc,Greece,Europe,11.446004867553711,25815.80076797162
hrv,Croatia,Europe,4.328153133392334,19305.008088868373
hun,Hungary,Europe,9.927840232849121,20477.79856764035
irl,Ireland,Europe,4.626927852630615,47823.50815113634
isl,Iceland,Europe,0.3203279972076416,37729.01607603124
ita,Italy,Europe,59.72980880737305,34727.67268834705
ltu,Lithuania,Europe,3.123802900314331,18475.371145517096
lux,Luxembourg,Europe,0.5078889727592468,57882.81020537233
lva,Latvia,Europe,2.1188480854034424,16943.688322829523
mda,Moldova,Europe,4.0844807624816895,4173.634753274572
mkd,Macedonia,Europe,2.0707390308380127,11265.643175619889
mlt,Malta,Europe,0.41611000895500183,22983.44992639125
mne,Montenegro,Europe,0.6242849826812744,14960.94855221103
nld,Netherlands,Europe,16.68291664123535,44004.146024770846
nor,Norway,Europe,4.885878086090088,73262.68174170727
pol,Poland,Europe,38.323402404785156,21006.027309294514
prt,Portugal,Europe,10.652320861816406,25788.2739652247
rou,Romania,Europe,20.44034767150879,16775.609043478133
rus,Russia,Asia,143.15386962890625,21754.067899615977
srb,Serbia,Europe,7.291436195373535,12453.482551916944
svk,Slovakia,Europe,5.404294013977051,23061.12099058148
svn,Slovenia,Europe,2.045167922973633,25831.33128718208
swe,Sweden,Europe,9.390168190002441,40421.906436576974
ukr,Ukraine,Europe,45.79249954223633,8713.259627419637
abw,Aruba,NorthAmerica,0.10166899859905243,37059.34143869512
aia,Anguilla,NorthAmerica,0.013768999837338924,21098.057152999143
atg,Antigua and Barbuda,NorthAmerica,0.09466099739074707,17162.16102781353
bhs,Bahamas,NorthAmerica,0.36083200573921204,29504.581346144332
blz,Belize,NorthAmerica,0.3216080069541931,7145.952547655193
bmu,Bermuda,NorthAmerica,0.06395599991083145,51447.147481910884
brb,Barbados,NorthAmerica,0.27956900000572205,13995.612896540895
can,Canada,NorthAmerica,34.16866683959961,40269.03526728651
cri,Costa Rica,NorthAmerica,4.5452799797058105,12106.99191566891
cuw,Curaçao,NorthAmerica,0.14760799705982208,24337.816177887613
cym,Cayman Islands,NorthAmerica,0.05550700053572655,36670.678481483985
dma,Dominica,NorthAmerica,0.07143999636173248,9101.993729581038
dom,Dominican Republic,NorthAmerica,9.897985458374023,11500.13134401987
grd,Grenada,NorthAmerica,0.1046769991517067,9791.291133092265
gtm,Guatemala,NorthAmerica,14.630416870117188,6359.262684615136
hnd,Honduras,NorthAmerica,8.194778442382812,3789.9102248753848
hti,Haiti,NorthAmerica,9.999616622924805,1650.2697128700804
jam,Jamaica,NorthAmerica,2.8172099590301514,6675.176956450172
kna,Saint Kitts and Nevis,NorthAmerica,0.05144499987363815,17837.349758162076
lca,Saint Lucia,NorthAmerica,0.17258000373840332,9178.266990673521
mex,Mexico,NorthAmerica,117.31893920898438,14507.011923865603
msr,Montserrat,NorthAmerica,0.00494399992749095,15385.002991478228
nic,Nicaragua,NorthAmerica,5.737722873687744,3992.7619078961748
pan,Panama,NorthAmerica,3.6432220935821533,15055.237591848218
slv,El Salvador,NorthAmerica,6.164626121520996,6096.958357099287
tca,Turks and Caicos Islands,NorthAmerica,0.030993999913334846,7230.966074605446
tto,Trinidad and Tobago,NorthAmerica,1.3280999660491943,27510.236190041924
usa,United States,NorthAmerica,308.6413879394531,49500.62628346238
vct,Saint Vincent and the Grenadines,NorthAmerica,0.10931500047445297,8095.21923068351
vgb,British Virgin Islands,NorthAmerica,0.027224000543355942,21183.279165646647
aus,Australia,Oceania,22.12006378173828,44854.90004866657
fji,Fiji,Oceania,0.8599500060081482,6902.0687720944225
nzl,New Zealand,Oceania,4.370061874389648,30867.05437525178
arg,Argentina,SouthAmerica,41.2238883972168,15841.658208158999
bol,Bolivia,SouthAmerica,9.918242454528809,4806.608983377068
bra,Brazil,SouthAmerica,196.7962646484375,13541.462561602328
chl,Chile,SouthAmerica,16.99335479736328,18092.94007371081
